FK_NAME	schema_name	table	column	referenced_schema	referenced_table	referenced_column
FK__gropanal__Purge_Status_Id	Horizon	gropanal	Purge_Status_Id	Utility	Purge_Status	Id
FK__unitoccu__Purge_Status_Id	Horizon	unitoccu	Purge_Status_Id	Utility	Purge_Status	Id
FK__spacunit__Purge_Status_Id	Horizon	spacunit	Purge_Status_Id	Utility	Purge_Status	Id
FK_SCD2_Transaction_lernhist_Purge_Status_Id	Horizon	lernhist	Purge_Status_Id	Utility	Purge_Status	Id
FK__variation__Purge_Status_Id	Horizon	variation	Purge_Status_Id	Utility	Purge_Status	Id
FK__Property___Role___6EDAD93D	FM	Property_Role	Role_Id	FM	Role	BK_Id
FK__Property___Role___70C321AF	FM	Property_Role	Role_Id	FM	Role	BK_Id
FK__fmprocedure__Purge_Status_Id	Horizon	fmprocedure	Purge_Status_Id	Utility	Purge_Status	Id
FK_SCD2_Transaction_location_Purge_Status_Id	Horizon	location	Purge_Status_Id	Utility	Purge_Status	Id
FK__leasneg__Purge_Status_Id	Horizon	leasneg	Purge_Status_Id	Utility	Purge_Status	Id
FK__riper__Purge_Status_Id	Horizon	riper	Purge_Status_Id	Utility	Purge_Status	Id
FK__propscshrhd__Purge_Status_Id	Horizon	propscshrhd	Purge_Status_Id	Utility	Purge_Status	Id
FK__footfall__Purge_Status_Id	Horizon	footfall	Purge_Status_Id	Utility	Purge_Status	Id
FK_SCD2_Transaction_property_Purge_Status_Id	Horizon	property	Purge_Status_Id	Utility	Purge_Status	Id
FK__suppcitr__Purge_Status_Id	Horizon	suppcitr	Purge_Status_Id	Utility	Purge_Status	Id
FK__glrepstr__Purge_Status_Id	Horizon	glrepstr	Purge_Status_Id	Utility	Purge_Status	Id
FK_SCD2_Transaction_propsale_Purge_Status_Id	Horizon	propsale	Purge_Status_Id	Utility	Purge_Status	Id
FK__leasbrk__Purge_Status_Id	Horizon	leasbrk	Purge_Status_Id	Utility	Purge_Status	Id
FK__tnntrcpt__Purge_Status_Id	Horizon	tnntrcpt	Purge_Status_Id	Utility	Purge_Status	Id
FK__codeconv__Purge_Status_Id	Horizon	codeconv	Purge_Status_Id	Utility	Purge_Status	Id
FK__glprpbal__Purge_Status_Id	Horizon	glprpbal	Purge_Status_Id	Utility	Purge_Status	Id
FK_FMCS_User_Zone	ConditionSurvey	User	Zone_ID	ConditionSurvey	Zone	SK_Id
FK_FMCS_User_User_Type	ConditionSurvey	User	User_Type_ID	ConditionSurvey	User_Type	Id
FK_SCD2_Transaction_propscbgtd_Purge_Status_Id	Horizon	propscbgtd	Purge_Status_Id	Utility	Purge_Status	Id
FK__propgppd__Purge_Status_Id	Horizon	propgppd	Purge_Status_Id	Utility	Purge_Status	Id
FK__leasalal__Purge_Status_Id	Horizon	leasalal	Purge_Status_Id	Utility	Purge_Status	Id
FK__Business_Location__Zone_Id__Zone__SK_Id	Reference	Business_Location	Zone_Id	Reference	Zone	SK_Id
FK__glrepcatdt__Purge_Status_Id	Horizon	glrepcatdt	Purge_Status_Id	Utility	Purge_Status	Id
