TABLE_CATALOG	TABLE_SCHEMA	TABLE_NAME	COLUMN_NAME
AdventureWorks2014	Sales	vPersonDemographics	BusinessEntityID
AdventureWorks2014	Sales	vPersonDemographics	DateFirstPurchase
AdventureWorks2014	Sales	vPersonDemographics	Education
AdventureWorks2014	Sales	vPersonDemographics	Gender
AdventureWorks2014	Sales	vPersonDemographics	HomeOwnerFlag
AdventureWorks2014	Sales	vPersonDemographics	MaritalStatus
AdventureWorks2014	Sales	vPersonDemographics	NumberCarsOwned
AdventureWorks2014	Sales	vPersonDemographics	NumberChildrenAtHome
AdventureWorks2014	Sales	vPersonDemographics	Occupation
AdventureWorks2014	Sales	vPersonDemographics	TotalChildren
AdventureWorks2014	Sales	vPersonDemographics	TotalPurchaseYTD
AdventureWorks2014	Sales	vPersonDemographics	YearlyIncome
AdventureWorks2014	HumanResources	vJobCandidate	Addr.Loc.City
AdventureWorks2014	HumanResources	vJobCandidate	Addr.Loc.CountryRegion
AdventureWorks2014	HumanResources	vJobCandidate	Addr.Loc.State
AdventureWorks2014	HumanResources	vJobCandidate	Addr.PostalCode
AdventureWorks2014	HumanResources	vJobCandidate	Addr.Type
AdventureWorks2014	HumanResources	vJobCandidate	BusinessEntityID
AdventureWorks2014	HumanResources	vJobCandidate	EMail
AdventureWorks2014	HumanResources	vJobCandidate	JobCandidateID
AdventureWorks2014	HumanResources	vJobCandidate	ModifiedDate
AdventureWorks2014	HumanResources	vJobCandidate	Name.First
AdventureWorks2014	HumanResources	vJobCandidate	Name.Last
AdventureWorks2014	HumanResources	vJobCandidate	Name.Middle
AdventureWorks2014	HumanResources	vJobCandidate	Name.Prefix
AdventureWorks2014	HumanResources	vJobCandidate	Name.Suffix
AdventureWorks2014	HumanResources	vJobCandidate	Skills
AdventureWorks2014	HumanResources	vJobCandidate	WebSite
AdventureWorks2014	HumanResources	vJobCandidateEmployment	Emp.EndDate
AdventureWorks2014	HumanResources	vJobCandidateEmployment	Emp.FunctionCategory
AdventureWorks2014	HumanResources	vJobCandidateEmployment	Emp.IndustryCategory
AdventureWorks2014	HumanResources	vJobCandidateEmployment	Emp.JobTitle
AdventureWorks2014	HumanResources	vJobCandidateEmployment	Emp.Loc.City
AdventureWorks2014	HumanResources	vJobCandidateEmployment	Emp.Loc.CountryRegion
AdventureWorks2014	HumanResources	vJobCandidateEmployment	Emp.Loc.State
AdventureWorks2014	HumanResources	vJobCandidateEmployment	Emp.OrgName
AdventureWorks2014	HumanResources	vJobCandidateEmployment	Emp.Responsibility
AdventureWorks2014	HumanResources	vJobCandidateEmployment	Emp.StartDate
AdventureWorks2014	HumanResources	vJobCandidateEmployment	JobCandidateID
AdventureWorks2014	HumanResources	vJobCandidateEducation	Edu.Degree
AdventureWorks2014	HumanResources	vJobCandidateEducation	Edu.EndDate
AdventureWorks2014	HumanResources	vJobCandidateEducation	Edu.GPA
AdventureWorks2014	HumanResources	vJobCandidateEducation	Edu.GPAScale
AdventureWorks2014	HumanResources	vJobCandidateEducation	Edu.Level
AdventureWorks2014	HumanResources	vJobCandidateEducation	Edu.Loc.City
AdventureWorks2014	HumanResources	vJobCandidateEducation	Edu.Loc.CountryRegion
AdventureWorks2014	HumanResources	vJobCandidateEducation	Edu.Loc.State
AdventureWorks2014	HumanResources	vJobCandidateEducation	Edu.Major
AdventureWorks2014	HumanResources	vJobCandidateEducation	Edu.Minor
AdventureWorks2014	HumanResources	vJobCandidateEducation	Edu.School
AdventureWorks2014	HumanResources	vJobCandidateEducation	Edu.StartDate
AdventureWorks2014	HumanResources	vJobCandidateEducation	JobCandidateID
AdventureWorks2014	Production	vProductAndDescription	CultureID
AdventureWorks2014	Production	vProductAndDescription	Description
AdventureWorks2014	Production	vProductAndDescription	Name
AdventureWorks2014	Production	vProductAndDescription	ProductID
AdventureWorks2014	Production	vProductAndDescription	ProductModel
AdventureWorks2014	Production	vProductModelCatalogDescription	BikeFrame
AdventureWorks2014	Production	vProductModelCatalogDescription	Color
AdventureWorks2014	Production	vProductModelCatalogDescription	Copyright
AdventureWorks2014	Production	vProductModelCatalogDescription	Crankset
AdventureWorks2014	Production	vProductModelCatalogDescription	MaintenanceDescription
AdventureWorks2014	Production	vProductModelCatalogDescription	Manufacturer
AdventureWorks2014	Production	vProductModelCatalogDescription	Material
AdventureWorks2014	Production	vProductModelCatalogDescription	ModifiedDate
AdventureWorks2014	Production	vProductModelCatalogDescription	Name
AdventureWorks2014	Production	vProductModelCatalogDescription	NoOfYears
AdventureWorks2014	Production	vProductModelCatalogDescription	Pedal
AdventureWorks2014	Production	vProductModelCatalogDescription	PictureAngle
AdventureWorks2014	Production	vProductModelCatalogDescription	PictureSize
AdventureWorks2014	Production	vProductModelCatalogDescription	ProductLine
AdventureWorks2014	Production	vProductModelCatalogDescription	ProductModelID
AdventureWorks2014	Production	vProductModelCatalogDescription	ProductPhotoID
AdventureWorks2014	Production	vProductModelCatalogDescription	ProductURL
AdventureWorks2014	Production	vProductModelCatalogDescription	RiderExperience
AdventureWorks2014	Production	vProductModelCatalogDescription	rowguid
AdventureWorks2014	Production	vProductModelCatalogDescription	Saddle
AdventureWorks2014	Production	vProductModelCatalogDescription	Style
AdventureWorks2014	Production	vProductModelCatalogDescription	Summary
AdventureWorks2014	Production	vProductModelCatalogDescription	WarrantyDescription
AdventureWorks2014	Production	vProductModelCatalogDescription	WarrantyPeriod
AdventureWorks2014	Production	vProductModelCatalogDescription	Wheel
AdventureWorks2014	Production	vProductModelInstructions	Instructions
AdventureWorks2014	Production	vProductModelInstructions	LaborHours
AdventureWorks2014	Production	vProductModelInstructions	LocationID
AdventureWorks2014	Production	vProductModelInstructions	LotSize
AdventureWorks2014	Production	vProductModelInstructions	MachineHours
AdventureWorks2014	Production	vProductModelInstructions	ModifiedDate
AdventureWorks2014	Production	vProductModelInstructions	Name
AdventureWorks2014	Production	vProductModelInstructions	ProductModelID
AdventureWorks2014	Production	vProductModelInstructions	rowguid
AdventureWorks2014	Production	vProductModelInstructions	SetupHours
AdventureWorks2014	Production	vProductModelInstructions	Step
AdventureWorks2014	Sales	vSalesPerson	AddressLine1
AdventureWorks2014	Sales	vSalesPerson	AddressLine2
AdventureWorks2014	Sales	vSalesPerson	BusinessEntityID
AdventureWorks2014	Sales	vSalesPerson	City
AdventureWorks2014	Sales	vSalesPerson	CountryRegionName
AdventureWorks2014	Sales	vSalesPerson	EmailAddress
AdventureWorks2014	Sales	vSalesPerson	EmailPromotion
AdventureWorks2014	Sales	vSalesPerson	FirstName
AdventureWorks2014	Sales	vSalesPerson	JobTitle
AdventureWorks2014	Sales	vSalesPerson	LastName
AdventureWorks2014	Sales	vSalesPerson	MiddleName
AdventureWorks2014	Sales	vSalesPerson	PhoneNumber
AdventureWorks2014	Sales	vSalesPerson	PhoneNumberType
AdventureWorks2014	Sales	vSalesPerson	PostalCode
AdventureWorks2014	Sales	vSalesPerson	SalesLastYear
AdventureWorks2014	Sales	vSalesPerson	SalesQuota
AdventureWorks2014	Sales	vSalesPerson	SalesYTD
AdventureWorks2014	Sales	vSalesPerson	StateProvinceName
AdventureWorks2014	Sales	vSalesPerson	Suffix
AdventureWorks2014	Sales	vSalesPerson	TerritoryGroup
AdventureWorks2014	Sales	vSalesPerson	TerritoryName
AdventureWorks2014	Sales	vSalesPerson	Title
AdventureWorks2014	Sales	SalesTerritoryHistory	BusinessEntityID
AdventureWorks2014	Sales	SalesTerritoryHistory	EndDate
AdventureWorks2014	Sales	SalesTerritoryHistory	ModifiedDate
AdventureWorks2014	Sales	SalesTerritoryHistory	rowguid
AdventureWorks2014	Sales	SalesTerritoryHistory	StartDate
AdventureWorks2014	Sales	SalesTerritoryHistory	TerritoryID
AdventureWorks2014	Sales	vSalesPersonSalesByFiscalYears	2002
AdventureWorks2014	Sales	vSalesPersonSalesByFiscalYears	2003
AdventureWorks2014	Sales	vSalesPersonSalesByFiscalYears	2004
AdventureWorks2014	Sales	vSalesPersonSalesByFiscalYears	FullName
AdventureWorks2014	Sales	vSalesPersonSalesByFiscalYears	JobTitle
AdventureWorks2014	Sales	vSalesPersonSalesByFiscalYears	SalesPersonID
AdventureWorks2014	Sales	vSalesPersonSalesByFiscalYears	SalesTerritory
AdventureWorks2014	Person	vStateProvinceCountryRegion	CountryRegionCode
AdventureWorks2014	Person	vStateProvinceCountryRegion	CountryRegionName
AdventureWorks2014	Person	vStateProvinceCountryRegion	IsOnlyStateProvinceFlag
AdventureWorks2014	Person	vStateProvinceCountryRegion	StateProvinceCode
AdventureWorks2014	Person	vStateProvinceCountryRegion	StateProvinceID
AdventureWorks2014	Person	vStateProvinceCountryRegion	StateProvinceName
AdventureWorks2014	Person	vStateProvinceCountryRegion	TerritoryID
AdventureWorks2014	Sales	vStoreWithDemographics	AnnualRevenue
AdventureWorks2014	Sales	vStoreWithDemographics	AnnualSales
AdventureWorks2014	Sales	vStoreWithDemographics	BankName
AdventureWorks2014	Sales	vStoreWithDemographics	Brands
AdventureWorks2014	Sales	vStoreWithDemographics	BusinessEntityID
AdventureWorks2014	Sales	vStoreWithDemographics	BusinessType
AdventureWorks2014	Sales	vStoreWithDemographics	Internet
AdventureWorks2014	Sales	vStoreWithDemographics	Name
AdventureWorks2014	Sales	vStoreWithDemographics	NumberEmployees
AdventureWorks2014	Sales	vStoreWithDemographics	Specialty
AdventureWorks2014	Sales	vStoreWithDemographics	SquareFeet
AdventureWorks2014	Sales	vStoreWithDemographics	YearOpened
